percentage_of_data, processors_used, execution_time, avg_centrality
0.05,2,0.51,0.374965
0.05,4,0.26,0.374965
0.05,6,0.20,0.374965
0.05,8,0.15,0.374965
0.05,10,0.15,0.374965
0.05,12,0.14,0.374965
0.05,14,0.12,0.374965
0.05,16,0.14,0.374965
0.10,2,0.93,0.368416
0.10,4,0.47,0.368416
0.10,6,0.38,0.368416
0.10,8,0.29,0.368416
0.10,10,0.27,0.368416
0.10,12,0.28,0.368416
0.10,14,0.26,0.368416
0.10,16,0.30,0.368416
0.20,2,1.70,0.311256
0.20,4,0.90,0.311256   
0.20,6,0.69,0.311256
0.20,8,0.61,0.311256
0.20,10,0.56,0.311256
0.20,12,0.64,0.311256
0.20,14,0.60,0.311256
0.20,16,0.58,0.311256
1.00,2,17.53,0.276168
1.00,4,9.42,0.276168
1.00,6,7.33,0.276168
1.00,8,6.42,0.276168
1.00,10,6.26,0.276168
1.00,12,6.98,0.276168
1.00,14,6.50,0.276168
1.00,16,6.13,0.276168